,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,país
110,110,J Balvin,Azul,3,68,101651,Colombia_limpio.csv
111,111,Olivia Rodrigo,happier,83,7,101452,Colombia_limpio.csv
112,112,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,21,96,100662,Colombia_limpio.csv
113,113,"J Balvin, Jay Wheeler",OTRO FILI,42,4,100625,Colombia_limpio.csv
114,114,Farruko,La Tóxica,4,50,99751,Colombia_limpio.csv
115,115,"Nicky Jam, Myke Towers",Polvo,20,33,98341,Colombia_limpio.csv
116,116,Piso 21,Tan Bonita,79,16,97080,Colombia_limpio.csv
117,117,Camilo,Millones,53,18,96906,Colombia_limpio.csv
118,118,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,70,103,96812,Colombia_limpio.csv
119,119,"J Balvin, Khalid",Otra Noche Sin Ti,16,13,96608,Colombia_limpio.csv
120,120,Christian Nodal,De Los Besos Que Te Di,57,92,95543,Colombia_limpio.csv
121,121,"Micro TDH, Myke Towers",EL TREN,49,9,95496,Colombia_limpio.csv
122,122,KAROL G,"Ay, DiOs Mío!",2,52,95424,Colombia_limpio.csv
123,123,The Weeknd,Save Your Tears,30,27,95043,Colombia_limpio.csv
124,124,"J Balvin, Bad Bunny",QUE PRETENDES,4,106,94247,Colombia_limpio.csv
125,125,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,2,71,93777,Colombia_limpio.csv
126,126,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",No Te Enamores - Remix,20,27,93586,Colombia_limpio.csv
127,127,Manuel Turizo,Quiéreme Mientras Se Pueda,13,62,93334,Colombia_limpio.csv
128,128,Fuego,Una Vaina Loca,127,3,91960,Colombia_limpio.csv
129,129,Tego Calderón,Pa' Que Retozen,130,31,91879,Colombia_limpio.csv
130,130,"Manuel Turizo, Justin Quiles, Dalex",Cosas Malas,80,10,91365,Colombia_limpio.csv
131,131,"Piso 21, Micro TDH",Te Vi,5,134,91079,Colombia_limpio.csv
132,132,Olivia Rodrigo,"jealousy, jealousy",112,7,90748,Colombia_limpio.csv
133,133,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,4,88,90192,Colombia_limpio.csv
134,134,Justin Quiles,Ponte Pa' Mi,37,33,89988,Colombia_limpio.csv
135,135,Don Omar,Dile,136,36,88994,Colombia_limpio.csv
136,136,Bad Bunny,HACIENDO QUE ME AMAS,5,32,88978,Colombia_limpio.csv
137,137,Ñejo & Dalmata,Pasarela,133,35,88699,Colombia_limpio.csv
138,138,"KAROL G, Wisin & Yandel, Nicky Jam, Ivy Queen, Zion, Alberto Stylee",LEYENDAS,74,15,87675,Colombia_limpio.csv
139,139,"MYA, TINI, Duki",2:50 Remix,140,2,87579,Colombia_limpio.csv
140,140,Tiësto,The Business,90,24,87577,Colombia_limpio.csv
141,141,Bacilos,Caraluna,94,237,86987,Colombia_limpio.csv
142,142,"KAROL G, Camilo",CONTIGO VOY A MUERTE,80,10,86793,Colombia_limpio.csv
143,143,"Bad Bunny, Daddy Yankee",La Santa,9,71,86368,Colombia_limpio.csv
144,144,Christian Nodal,No Te Contaron Mal,51,141,85849,Colombia_limpio.csv
145,145,Dimension Latina,Llorarás,71,63,85159,Colombia_limpio.csv
146,146,Rels B,A Mí,84,70,85049,Colombia_limpio.csv
147,147,Dua Lipa,Levitating,90,15,84550,Colombia_limpio.csv
148,148,Los Enanitos Verdes,Lamento Boliviano,114,119,84513,Colombia_limpio.csv
149,149,Ed Maverick,Fuentes de Ortiz,123,22,83951,Colombia_limpio.csv
150,150,Carin Leon,Tu - En Vivo,76,39,83729,Colombia_limpio.csv
151,151,Marbelle,Adicta al Dolor,89,31,82806,Colombia_limpio.csv
152,152,Ed Sheeran,Shape of You,2,231,82705,Colombia_limpio.csv
153,153,"Reik, Maluma",Perfecta,76,6,81950,Colombia_limpio.csv
154,154,Boza,En La Luna,155,2,81521,Colombia_limpio.csv
155,155,"Bad Bunny, Sech",Ignorantes,2,73,81481,Colombia_limpio.csv
156,156,Fonseca,Te Mando Flores,92,237,81174,Colombia_limpio.csv
157,157,Kevin Kaarl,Vámonos a Marte,116,17,80944,Colombia_limpio.csv
158,158,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,159,1,80815,Colombia_limpio.csv
159,159,Tones And I,Dance Monkey,3,95,80547,Colombia_limpio.csv
160,160,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,1,62,79798,Colombia_limpio.csv
161,161,Rauw Alejandro,Aquel Nap ZzZz,162,1,79707,Colombia_limpio.csv
162,162,Olivia Rodrigo,brutal,67,7,79527,Colombia_limpio.csv
163,163,De La Ghetto,Sensacion Del Bloque,164,14,79457,Colombia_limpio.csv
164,164,"Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, Jhayco, Lunay, Kendo Kaponi","La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",50,29,79415,Colombia_limpio.csv
165,165,Sech,Wao,62,12,79363,Colombia_limpio.csv
166,166,"Becky G, El Alfa",FULANITO,167,1,78936,Colombia_limpio.csv
167,167,"Bad Bunny, Mora",Una Vez,42,20,78753,Colombia_limpio.csv
168,168,Camilo,Favorito,2,67,78697,Colombia_limpio.csv
169,169,Andrés Calamaro,Flaca,138,160,78569,Colombia_limpio.csv
170,170,"Juhn, Jay Wheeler",Fragancia,116,6,78529,Colombia_limpio.csv
171,171,Bad Bunny,BOOKER T,10,32,78503,Colombia_limpio.csv
172,172,Daddy Yankee,PROBLEMA,49,19,78354,Colombia_limpio.csv
173,173,"Tony Dize, Yandel",Permitame (feat. Yandel),154,19,78149,Colombia_limpio.csv
174,174,Paulo Londra,Adan y Eva,2,136,77987,Colombia_limpio.csv
175,175,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",165,2,77966,Colombia_limpio.csv
176,176,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,18,93,77933,Colombia_limpio.csv
177,177,Don Omar,Ojitos Chiquitos,172,5,77887,Colombia_limpio.csv
178,178,"Zion & Lennox, J Balvin",Otra vez (feat. J Balvin),1,225,77680,Colombia_limpio.csv
179,179,"Aventura, Don Omar",Ella Y Yo - Featuring Don Omar,180,2,77370,Colombia_limpio.csv
180,180,"Doja Cat, The Weeknd",You Right,180,2,77280,Colombia_limpio.csv
181,181,Hombres G,Devuélveme a mi chica,149,38,76889,Colombia_limpio.csv
182,182,"Morat, Juanes",Besos En Guerra,29,191,76769,Colombia_limpio.csv
183,183,Justin Quiles,Jeans,11,47,76702,Colombia_limpio.csv
184,184,"Reykon, J Alvarez, Jamby El Favo, KEVIN ROLDAN",La Suite - Remix,185,1,75999,Colombia_limpio.csv
185,185,Grupo Niche,Sin Sentimientos,164,6,75767,Colombia_limpio.csv
186,186,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",4,54,75729,Colombia_limpio.csv
187,187,"Tainy, Yandel",DEJA VU,188,1,75625,Colombia_limpio.csv
188,188,Queen,Bohemian Rhapsody - Remastered 2011,14,216,75597,Colombia_limpio.csv
189,189,"Ryan Castro, Blessd",Lejanía,144,7,75188,Colombia_limpio.csv
190,190,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,103,75129,Colombia_limpio.csv
191,191,Maluma,Agua de Jamaica,28,23,74761,Colombia_limpio.csv
192,192,Bad Bunny,La Difícil,4,58,74651,Colombia_limpio.csv
193,193,Paulo Londra,Tal Vez,5,117,74131,Colombia_limpio.csv
194,194,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,89,33,73902,Colombia_limpio.csv
195,195,Manuel Medrano,Bajo El Agua,42,236,73855,Colombia_limpio.csv
196,196,Christian Nodal,Adiós Amor,75,103,73599,Colombia_limpio.csv
197,197,"Mau y Ricky, Sebastian Yatra, Mora",3 de La Mañana - con Sebastián Yatra & Mora,126,3,73551,Colombia_limpio.csv
198,198,Mike Bahía,La Rutina,59,5,73458,Colombia_limpio.csv
199,199,Masked Wolf,Astronaut In The Ocean,71,18,72803,Colombia_limpio.csv
200,0,Måneskin,Beggin',1,5,51833305,Global_limpio.csv
201,1,Olivia Rodrigo,good 4 u,1,8,50319030,Global_limpio.csv
202,2,Ed Sheeran,Bad Habits,3,2,37303889,Global_limpio.csv
203,3,Lil Nas X,MONTERO (Call Me By Your Name),1,15,34334459,Global_limpio.csv
204,4,Rauw Alejandro,Todo De Ti,2,7,33286977,Global_limpio.csv
205,5,Bad Bunny,Yonaguni,3,5,33163336,Global_limpio.csv
206,6,"Doja Cat, SZA",Kiss Me More (feat. SZA),3,13,31426239,Global_limpio.csv
207,7,Måneskin,I WANNA BE YOUR SLAVE,8,7,28083554,Global_limpio.csv
208,8,"J Balvin, Maria Becerra",Qué Más Pues?,9,6,26352868,Global_limpio.csv
209,9,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,40,26195815,Global_limpio.csv
210,10,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),1,16,23725509,Global_limpio.csv
211,11,Olivia Rodrigo,deja vu,3,14,23706623,Global_limpio.csv
212,12,BTS,Butter,2,7,23229255,Global_limpio.csv
213,13,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,14,2,23042972,Global_limpio.csv
214,14,Olivia Rodrigo,traitor,7,7,20952576,Global_limpio.csv
215,15,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,11,20640230,Global_limpio.csv
216,16,"Doja Cat, The Weeknd",You Right,15,2,19738847,Global_limpio.csv
217,17,Olivia Rodrigo,happier,12,7,18998490,Global_limpio.csv
218,18,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",19,1,18555226,Global_limpio.csv
219,19,Olivia Rodrigo,drivers license,1,26,18074652,Global_limpio.csv
220,20,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,5,18,17397969,Global_limpio.csv
221,21,Masked Wolf,Astronaut In The Ocean,3,25,16859296,Global_limpio.csv
222,22,Olivia Rodrigo,favorite crime,11,7,16484193,Global_limpio.csv
223,23,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,15,20,15963923,Global_limpio.csv
224,24,The Weeknd,Blinding Lights,1,84,15627686,Global_limpio.csv
225,25,"Sebastian Yatra, Myke Towers",Pareja Del Año,10,12,14894327,Global_limpio.csv
226,26,Bella Poarch,Build a Bitch,20,8,14015554,Global_limpio.csv
227,27,Polo G,RAPSTAR,3,13,13969447,Global_limpio.csv
228,28,Olivia Rodrigo,"jealousy, jealousy",17,7,13225068,Global_limpio.csv
229,29,"Wisin, Jhayco, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,29,3,13170668,Global_limpio.csv
230,30,"Bad Bunny, Jhayco",DÁKITI,1,36,13073573,Global_limpio.csv
231,31,Harry Styles,Watermelon Sugar,4,86,12747127,Global_limpio.csv
232,32,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,33,3,12638129,Global_limpio.csv
233,33,Glass Animals,Heat Waves,26,28,12457530,Global_limpio.csv
234,34,Olivia Rodrigo,brutal,9,7,12086958,Global_limpio.csv
235,35,Måneskin,ZITTI E BUONI,12,8,12037163,Global_limpio.csv
236,36,BTS,Dynamite,2,46,12016121,Global_limpio.csv
237,37,Trinidad Cardona,Dinero,33,4,11855568,Global_limpio.csv
238,38,Tiësto,The Business,9,36,11629827,Global_limpio.csv
239,39,"Rauw Alejandro, Mr. Naisgai",2/Catorce,31,9,11566494,Global_limpio.csv
240,40,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),34,18,11153403,Global_limpio.csv
241,41,"Majestic, Boney M.",Rasputin,40,11,10983279,Global_limpio.csv
242,42,"24kGoldn, iann dior",Mood (feat. iann dior),1,48,10927768,Global_limpio.csv
243,43,"ATB, Topic, A7S",Your Love (9PM),26,23,10743162,Global_limpio.csv
244,44,Giveon,Heartbreak Anniversary,8,21,10733910,Global_limpio.csv
245,45,Megan Thee Stallion,Thot Shit,46,4,10676414,Global_limpio.csv
246,46,"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),22,2,10360127,Global_limpio.csv
247,47,"Galantis, David Guetta, Little Mix",Heartbreak Anthem (with David Guetta & Little Mix),48,7,10195564,Global_limpio.csv
248,48,Doja Cat,Ain't Shit,42,2,10086024,Global_limpio.csv
249,49,"TINI, Maria Becerra",Miénteme,48,10,9967080,Global_limpio.csv
250,50,The Weeknd,Save Your Tears,2,31,9926599,Global_limpio.csv
251,51,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),52,6,9563617,Global_limpio.csv
252,52,"KAROL G, Mariah Angeliq",EL MAKINON,33,15,9484000,Global_limpio.csv
253,53,Dua Lipa,Don't Start Now,2,88,9299338,Global_limpio.csv
254,54,"Los Legendarios, Wisin, Jhayco",Fiel,7,21,9253917,Global_limpio.csv
255,55,OneRepublic,Run,56,9,9212635,Global_limpio.csv
256,56,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),6,18,9113772,Global_limpio.csv
257,57,Kali Uchis,telepatía,2,20,9033201,Global_limpio.csv
258,58,"Travis Scott, HVME",Goosebumps - Remix,32,25,8897348,Global_limpio.csv
259,59,Lewis Capaldi,Someone You Loved,4,131,8880547,Global_limpio.csv
260,60,Duncan Laurence,Arcade,23,26,8791238,Global_limpio.csv
261,61,"Gera MX, Christian Nodal",Botella Tras Botella,9,11,8769242,Global_limpio.csv
262,62,Surf Curse,Freaks,63,10,8673605,Global_limpio.csv
263,63,Olivia Rodrigo,enough for you,11,7,8389514,Global_limpio.csv
264,64,"WILLOW, Travis Barker",t r a n s p a r e n t s o u l feat. Travis Barker,60,5,8377667,Global_limpio.csv
265,65,Justin Bieber,Hold On,5,18,8313092,Global_limpio.csv
266,66,João Gomes,Meu Pedaço de Pecado,67,2,8303653,Global_limpio.csv
267,67,Vegedream,Ramenez la coupe à la maison,68,3,8291139,Global_limpio.csv
268,68,"Joel Corry, RAYE, David Guetta",BED,42,17,8252974,Global_limpio.csv
269,69,The Neighbourhood,Sweater Weather,35,45,8196101,Global_limpio.csv
270,70,Imagine Dragons,Wrecked,71,1,8052694,Global_limpio.csv
271,71,"Mora, Jhayco",512,55,10,8043733,Global_limpio.csv
272,72,Tones And I,Dance Monkey,1,103,7979620,Global_limpio.csv
273,73,"Joel Corry, MNEK",Head & Heart (feat. MNEK),11,52,7973831,Global_limpio.csv
274,74,"NATTI NATASHA, Becky G",Ram Pam Pam,75,7,7947321,Global_limpio.csv
275,75,Sech,Sal y Perrea,59,8,7943316,Global_limpio.csv
276,76,Doja Cat,Need to Know,38,4,7857482,Global_limpio.csv
277,77,"Justin Wellington, Small Jam",Iko Iko (My Bestie),78,5,7695321,Global_limpio.csv
278,78,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,79,1,7625863,Global_limpio.csv
279,79,"MYA, TINI, Duki",2:50 Remix,80,2,7578180,Global_limpio.csv
280,80,Cardi B,Up,14,22,7443285,Global_limpio.csv
281,81,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,2,32,7413345,Global_limpio.csv
282,82,Olivia Rodrigo,"1 step forward, 3 steps back",13,7,7336600,Global_limpio.csv
283,83,The Kid LAROI,WITHOUT YOU,7,31,7334545,Global_limpio.csv
284,84,Bruno Mars,Talking to the Moon,45,16,7312005,Global_limpio.csv
285,85,Dua Lipa,Levitating,52,16,7222572,Global_limpio.csv
286,86,Post Malone,Circles,1,97,7204969,Global_limpio.csv
287,87,Madison Beer,Reckless,88,2,7100828,Global_limpio.csv
288,88,"SAINt JHN, Imanbek",Roses - Imanbek Remix,3,82,7069253,Global_limpio.csv
289,89,"Myke Towers, Juhn",Bandido,5,29,7025957,Global_limpio.csv
290,90,Billie Eilish,Lost Cause,15,5,7024277,Global_limpio.csv
291,91,Ariana Grande,positions,1,37,7013364,Global_limpio.csv
292,92,Dua Lipa,We're Good,22,21,6972480,Global_limpio.csv
293,93,Lewis Capaldi,Before You Go,19,85,6968949,Global_limpio.csv
294,94,Sech,911,28,21,6825127,Global_limpio.csv
295,95,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",2,47,6809642,Global_limpio.csv
296,96,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),45,26,6803092,Global_limpio.csv
297,97,Ed Sheeran,Shape of You,1,232,6799207,Global_limpio.csv
298,98,Imagine Dragons,Believer,16,231,6791783,Global_limpio.csv
299,99,Doja Cat,Streets,9,26,6779287,Global_limpio.csv
300,100,"Brent Faiyaz, Drake, The Neptunes",Wasting Time ( feat. Drake & The Neptunes ),101,1,6731106,Global_limpio.csv
301,101,"Calvin Harris, Tom Grennan",By Your Side (feat. Tom Grennan),80,5,6608824,Global_limpio.csv
302,102,Mari Fernandez,"Não, Não Vou",103,2,6587265,Global_limpio.csv
303,103,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,142,6576771,Global_limpio.csv
